"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_3.nlogo"
"13-dolphin-communication-1-range"
"01/02/2025 17:47:25:143 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","fish-reproduction-rate","speed-dolphin","dolphin-vision-range","fish-vision-range","speed-fish","initial-number-dolphins","initial-number-fish","fish-collision-range","fish-cohesion-range","cohesion-weight","alignment-weight","max-turn","dolphin-communication-range","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"5","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","1","256","0.390625","100","10","0"
"4","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","1","235","0.425531914893617","100","10","0"
"2","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","1","281","0.35587188612099646","100","10","0"
"3","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","1","292","0.3424657534246575","100","10","0"
"1","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","1","446","0.2242152466367713","100","10","0"
"6","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","1","278","0.3597122302158273","100","10","0"
"7","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","1","327","0.3058103975535168","100","10","0"
"9","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","1","304","0.32894736842105265","100","10","0"
"8","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","1","302","0.33112582781456956","100","10","0"
"10","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","1","307","0.3257328990228013","100","10","0"
"11","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","1","294","0.3401360544217687","100","10","0"
"12","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","1","224","0.44642857142857145","100","10","0"
"13","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","1","366","0.273224043715847","100","10","0"
"14","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","1","270","0.37037037037037035","100","10","0"
"15","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","1","197","0.5076142131979695","100","10","0"
"16","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","1","278","0.3597122302158273","100","10","0"
"17","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","1","302","0.33112582781456956","100","10","0"
"18","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","1","265","0.37735849056603776","100","10","0"
"19","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","1","298","0.33557046979865773","100","10","0"
"21","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","1","325","0.3076923076923077","100","10","0"
"20","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","1","402","0.24875621890547264","100","10","0"
"22","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","1","268","0.373134328358209","100","10","0"
"23","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","1","305","0.32786885245901637","100","10","0"
"25","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","1","245","0.40816326530612246","100","10","0"
"24","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","1","283","0.35335689045936397","100","10","0"
"26","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","1","299","0.33444816053511706","100","10","0"
"27","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","1","246","0.4065040650406504","100","10","0"
"28","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","1","321","0.3115264797507788","100","10","0"
"30","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","1","254","0.3937007874015748","100","10","0"
"29","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","1","220","0.45454545454545453","100","10","0"
"31","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","1","351","0.2849002849002849","100","10","0"
"33","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","1","275","0.36363636363636365","100","10","0"
"35","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","1","337","0.29673590504451036","100","10","0"
"32","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","1","424","0.2358490566037736","100","10","0"
"34","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","1","678","0.14749262536873156","100","10","0"
"38","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","1","268","0.373134328358209","100","10","0"
"39","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","1","534","0.18726591760299627","100","10","0"
"40","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","1","229","0.4366812227074236","100","10","0"
"41","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","1","343","0.2915451895043732","100","10","0"
"37","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","1","496","0.20161290322580644","100","10","0"
"36","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","1","295","0.3389830508474576","100","10","0"
